# gamma   rounded charges # iteration_stop num_grid_pts 
1.0  0.5036,  -0.1207,  -0.3645,   0.1322,   0.0996,   0.0983,  -0.4892,   1.0376,  # 52 46249
1.2  0.3704,  -0.1572,  -0.1855,   0.1516,   0.0555,   0.0539,  -0.4330,   1.0548,  # 48 35609
1.4  0.2380,  -0.1653,  -0.1098,   0.1585,   0.0443,   0.0423,  -0.3856,   1.0514,  # 48 27695
