1.2   0.243801158777636,   -0.190405887184912,   -0.054323707246829,    0.158007586146180,    0.024363547705112,    0.019016945633617,   -0.213398802725812,    0.468745429908879,  # 35609
1.2   0.243836350415256,   -0.190397635167721,   -0.054357407952412,    0.158005722388555,    0.024370952880212,    0.019025729261875,   -0.213451822028308,    0.468881784259609,  # 35609
1.2   0.243944751224245,   -0.190372215004755,   -0.054461221903939,    0.157999981571875,    0.024393765611986,    0.019052786598558,   -0.213615149985636,    0.469301839388391,  # 35609
1.2   0.244130695124599,   -0.190328605678467,   -0.054639317715581,    0.157990134547236,    0.024432906170870,    0.019099203006203,   -0.213895356764632,    0.470022526069528,  # 35609
1.2   0.244398635425894,   -0.190265754234551,   -0.054895993425897,    0.157975946154456,    0.024489326800606,    0.019166096664552,   -0.214299226090957,    0.471061352152686,  # 35609
1.2   0.244753133778403,   -0.190182577636622,   -0.055235668658709,    0.157957175865802,    0.024564010638296,    0.019254616388095,   -0.214833744891068,    0.472436381078787,  # 35609
1.2   0.245198846748843,   -0.190077965087882,   -0.055662874794387,    0.157933578562876,    0.024657970264840,    0.019365938927680,   -0.215506090119710,    0.474166203755233,  # 35609
1.2   0.245740509787187,   -0.189950780867107,   -0.056182242939195,    0.157904905459706,    0.024772245841523,    0.019501265706973,   -0.216323612485191,    0.476269903094349,  # 35609
1.2   0.246382918357255,   -0.189799867725335,   -0.056798489479712,    0.157870905184825,    0.024907902787400,    0.019661818945564,   -0.217293816786965,    0.478767010514087,  # 35609
1.2   0.247130905998162,   -0.189624050890324,   -0.057516398999784,    0.157831325035195,    0.025066028949068,    0.019848837119958,   -0.218424338575294,    0.481677453688747,  # 35609
1.2   0.247989319091647,   -0.189422142725129,   -0.058340804341383,    0.157785912414857,    0.025247731214211,    0.020063569716530,   -0.219722916849149,    0.485021494847252,  # 35609
1.2   0.248962988118848,   -0.189192948084492,   -0.059276563591231,    0.157734416470182,    0.025454131518949,    0.020307271232759,   -0.221197362519184,    0.488819658937428,  # 35609
1.2   0.250056695206910,   -0.188935270410392,   -0.060328533784965,    0.157676589933231,    0.025686362199720,    0.020581194387892,   -0.222855522380710,    0.493092651012930,  # 35609
1.2   0.251275137788091,   -0.188647918602777,   -0.061501541134111,    0.157612191183083,    0.025945560641615,    0.020886582510086,   -0.224705238368499,    0.497861262258176,  # 35609
1.2   0.252622888225489,   -0.188329714695814,   -0.062800347602511,    0.157540986533594,    0.026232863177945,    0.021224661075013,   -0.226754301901549,    0.503146264147313,  # 35609
1.2   0.254104349298144,   -0.187979502361800,   -0.064229613686533,    0.157462752753765,    0.026549398199832,    0.021596628380611,   -0.229010403172415,    0.508968290338027,  # 35609
