1.0  0.3461,  -0.1713,  -0.2543,   0.1423,   0.0689,   0.0635,  -0.2817,   0.6566,  # 46249
1.0  0.3461,  -0.1713,  -0.2543,   0.1424,   0.0688,   0.0634,  -0.2817,   0.6568,  # 46249
1.0  0.3463,  -0.1712,  -0.2545,   0.1424,   0.0688,   0.0635,  -0.2819,   0.6570,  # 46249
1.0  0.3465,  -0.1712,  -0.2546,   0.1423,   0.0689,   0.0635,  -0.2820,   0.6572,  # 46249
1.0  0.3467,  -0.1711,  -0.2548,   0.1424,   0.0689,   0.0636,  -0.2824,   0.6578,  # 46249
1.0  0.3470,  -0.1710,  -0.2552,   0.1424,   0.0690,   0.0636,  -0.2827,   0.6584,  # 46249
1.0  0.3475,  -0.1709,  -0.2557,   0.1423,   0.0692,   0.0637,  -0.2831,   0.6590,  # 46249
1.0  0.3480,  -0.1708,  -0.2560,   0.1422,   0.0693,   0.0640,  -0.2837,   0.6600,  # 46249
1.0  0.3486,  -0.1706,  -0.2567,   0.1423,   0.0694,   0.0640,  -0.2843,   0.6610,  # 46249
1.0  0.3493,  -0.1704,  -0.2573,   0.1422,   0.0696,   0.0642,  -0.2851,   0.6624,  # 46249
1.0  0.3501,  -0.1703,  -0.2580,   0.1421,   0.0697,   0.0646,  -0.2858,   0.6638,  # 46249
1.0  0.3510,  -0.1700,  -0.2590,   0.1420,   0.0701,   0.0648,  -0.2869,   0.6656,  # 46249
1.0  0.3520,  -0.1697,  -0.2600,   0.1420,   0.0702,   0.0651,  -0.2879,   0.6674,  # 46249
1.0  0.3532,  -0.1695,  -0.2610,   0.1419,   0.0705,   0.0654,  -0.2891,   0.6696,  # 46249
1.0  0.3546,  -0.1692,  -0.2622,   0.1418,   0.0708,   0.0658,  -0.2905,   0.6720,  # 46249
1.0  0.3560,  -0.1688,  -0.2636,   0.1419,   0.0711,   0.0661,  -0.2921,   0.6746,  # 46249
1.0  0.3575,  -0.1683,  -0.2650,   0.1417,   0.0715,   0.0666,  -0.2938,   0.6774,  # 46249
1.0  0.3591,  -0.1680,  -0.2665,   0.1416,   0.0719,   0.0671,  -0.2955,   0.6806,  # 46249
1.0  0.3610,  -0.1675,  -0.2683,   0.1415,   0.0724,   0.0675,  -0.2975,   0.6840,  # 46249
1.0  0.3631,  -0.1670,  -0.2701,   0.1413,   0.0729,   0.0680,  -0.2996,   0.6876,  # 46249
1.0  0.3651,  -0.1664,  -0.2720,   0.1412,   0.0734,   0.0687,  -0.3020,   0.6916,  # 46249
1.0  0.3674,  -0.1658,  -0.2742,   0.1411,   0.0739,   0.0692,  -0.3044,   0.6960,  # 46249
1.0  0.3700,  -0.1652,  -0.2763,   0.1410,   0.0744,   0.0700,  -0.3072,   0.7006,  # 46249
1.0  0.3725,  -0.1645,  -0.2788,   0.1409,   0.0750,   0.0707,  -0.3100,   0.7056,  # 46249
1.0  0.3754,  -0.1637,  -0.2813,   0.1407,   0.0757,   0.0714,  -0.3132,   0.7110,  # 46249
1.0  0.3783,  -0.1629,  -0.2840,   0.1405,   0.0763,   0.0721,  -0.3163,   0.7168,  # 46249
1.0  0.3816,  -0.1621,  -0.2868,   0.1402,   0.0771,   0.0729,  -0.3198,   0.7230,  # 46249
1.0  0.3849,  -0.1611,  -0.2896,   0.1400,   0.0778,   0.0738,  -0.3236,   0.7294,  # 46249
