1.4  0.2335,  -0.1665,  -0.1040,   0.1585,   0.0427,   0.0408,  -0.3768,   1.0278,  # 27695
1.4  0.2380,  -0.1653,  -0.1098,   0.1585,   0.0443,   0.0423,  -0.3856,   1.0514,  # 27695
1.4  0.2427,  -0.1642,  -0.1157,   0.1583,   0.0459,   0.0440,  -0.3943,   1.0752,  # 27695
1.4  0.2471,  -0.1630,  -0.1214,   0.1583,   0.0474,   0.0456,  -0.4031,   1.0990,  # 27695
1.4  0.2515,  -0.1619,  -0.1271,   0.1582,   0.0490,   0.0472,  -0.4118,   1.1228,  # 27695
1.4  0.2558,  -0.1609,  -0.1326,   0.1581,   0.0507,   0.0490,  -0.4206,   1.1464,  # 27695
1.4  0.2599,  -0.1596,  -0.1382,   0.1581,   0.0521,   0.0506,  -0.4293,   1.1702,  # 27695
1.4  0.2639,  -0.1585,  -0.1434,   0.1581,   0.0538,   0.0521,  -0.4381,   1.1936,  # 27695
1.4  0.2678,  -0.1573,  -0.1486,   0.1579,   0.0553,   0.0537,  -0.4466,   1.2170,  # 27695
1.4  0.2715,  -0.1562,  -0.1535,   0.1579,   0.0568,   0.0554,  -0.4552,   1.2400,  # 27695
1.4  0.2749,  -0.1551,  -0.1582,   0.1580,   0.0584,   0.0569,  -0.4638,   1.2628,  # 27695
1.4  0.2782,  -0.1539,  -0.1628,   0.1580,   0.0599,   0.0583,  -0.4721,   1.2850,  # 27695
1.4  0.2813,  -0.1527,  -0.1670,   0.1580,   0.0614,   0.0598,  -0.4805,   1.3070,  # 27695
1.4  0.2842,  -0.1515,  -0.1708,   0.1579,   0.0628,   0.0613,  -0.4887,   1.3286,  # 27695
1.4  0.2869,  -0.1503,  -0.1745,   0.1580,   0.0641,   0.0627,  -0.4967,   1.3494,  # 27695
1.4  0.2892,  -0.1490,  -0.1777,   0.1580,   0.0654,   0.0640,  -0.5046,   1.3698,  # 27695
1.4  0.2913,  -0.1477,  -0.1806,   0.1579,   0.0667,   0.0654,  -0.5124,   1.3898,  # 27695
1.4  0.2932,  -0.1463,  -0.1833,   0.1580,   0.0680,   0.0666,  -0.5202,   1.4090,  # 27695
1.4  0.2949,  -0.1450,  -0.1853,   0.1581,   0.0691,   0.0678,  -0.5278,   1.4276,  # 27695
1.4  0.2964,  -0.1436,  -0.1869,   0.1580,   0.0702,   0.0688,  -0.5351,   1.4454,  # 27695
1.4  0.2975,  -0.1422,  -0.1882,   0.1582,   0.0712,   0.0698,  -0.5424,   1.4626,  # 27695
1.4  0.2985,  -0.1407,  -0.1889,   0.1581,   0.0723,   0.0708,  -0.5497,   1.4792,  # 27695
1.4  0.2991,  -0.1390,  -0.1892,   0.1582,   0.0730,   0.0718,  -0.5568,   1.4950,  # 27695
1.4  0.2996,  -0.1374,  -0.1889,   0.1581,   0.0740,   0.0725,  -0.5638,   1.5100,  # 27695
1.4  0.2997,  -0.1356,  -0.1881,   0.1581,   0.0747,   0.0733,  -0.5707,   1.5242,  # 27695
1.4  0.2997,  -0.1336,  -0.1869,   0.1581,   0.0753,   0.0739,  -0.5776,   1.5378,  # 27695
1.4  0.2997,  -0.1317,  -0.1849,   0.1580,   0.0758,   0.0745,  -0.5844,   1.5506,  # 27695
1.4  0.2992,  -0.1296,  -0.1827,   0.1581,   0.0764,   0.0750,  -0.5913,   1.5626,  # 27695
1.4  0.2988,  -0.1274,  -0.1796,   0.1579,   0.0767,   0.0754,  -0.5980,   1.5740,  # 27695
1.4  0.2981,  -0.1251,  -0.1762,   0.1578,   0.0771,   0.0756,  -0.6047,   1.5846,  # 27695
1.4  0.2972,  -0.1226,  -0.1721,   0.1578,   0.0773,   0.0759,  -0.6116,   1.5944,  # 27695
1.4  0.2963,  -0.1200,  -0.1676,   0.1577,   0.0775,   0.0759,  -0.6184,   1.6036,  # 27695
1.4  0.2955,  -0.1171,  -0.1626,   0.1575,   0.0774,   0.0760,  -0.6253,   1.6122,  # 27695
1.4  0.2945,  -0.1143,  -0.1572,   0.1573,   0.0775,   0.0761,  -0.6322,   1.6200,  # 27695
1.4  0.2936,  -0.1113,  -0.1512,   0.1572,   0.0774,   0.0758,  -0.6392,   1.6272,  # 27695
1.4  0.2926,  -0.1081,  -0.1450,   0.1570,   0.0771,   0.0757,  -0.6461,   1.6338,  # 27695
1.4  0.2919,  -0.1050,  -0.1383,   0.1568,   0.0769,   0.0755,  -0.6532,   1.6398,  # 27695
