# weight_tdf   delta%_tdf   delta%_esp    RRMS_tdf    RRMS_esp 
 0.0000 106.8830162587350827   0.0000000000000000   0.7391768971433464   0.4297673621216366
 0.0100 106.8684892926788876   0.0000010596011936   0.7391249934255425   0.4297673666754567
 0.0200 106.8237374331087324   0.0000176454045066   0.7389650985182820   0.4297674379558261
 0.0300 106.7469572856762028   0.0000929725913646   0.7386907690340753   0.4297677616874900
 0.0400 106.6362843154922757   0.0003058083057152   0.7382953431350451   0.4297686763859252
 0.0500 106.4897952389873126   0.0007769649429413   0.7377719490788558   0.4297707012633765
 0.0600 106.3055111612257093   0.0016764944890900   0.7371135164280944   0.4297745671477785
 0.0700 106.0814015426194317   0.0032316101950932   0.7363127902230289   0.4297812505275261
 0.0800 105.8153890822866430   0.0057353522195256   0.7353623484294679   0.4297920107935788
 0.0900 105.5053556087509605   0.0095560014712976   0.7342546229857704   0.4298084306970841
 0.1000 105.1491490696877520   0.0151472299068196   0.7329819247766646   0.4298324599720416
 0.1100 104.7445917138207108   0.0230589555103138   0.7315364728665265   0.4298664619864661
 0.1200 104.2894895559069539   0.0339488459168093   0.7299104283170347   0.4299132631812040
 0.1300 103.7816432138411784   0.0485943852231647   0.7280959329072989   0.4299762049291494
 0.1400 103.2188602003507327   0.0679053838725029   0.7260851530511284   0.4300591972986440
 0.1500 102.5989687446835461   0.0929367713756724   0.7238703291808466   0.4301667740324188
 0.1600 101.9198332079782006   0.1249014658513159   0.7214438308252067   0.4303041478566770
 0.1700 101.1793711416732293   0.1651830628937727   0.7187982175577593   0.4304772650137069
 0.1800 100.3755720197880379   0.2153480304239920   0.7159263059258321   0.4306928576713707
 0.1900  99.5065176535351128   0.2771570359448183   0.7128212423903492   0.4309584926039511
 0.2000  98.5704042691527462   0.3525749704471026   0.7094765822082068   0.4312826142716282
 0.2100  97.5655661985172316   0.4437791711298731   0.7058863740769846   0.4316745801590467
 0.2200  96.4905010946035162   0.5531652857543656   0.7020452502278225   0.4321446859783957
 0.2300  95.3438965427093734   0.6833501696380402   0.6979485215052502   0.4327041781197437
 0.2400  94.1246578912074909   0.8371711661245467   0.6935922768042967   0.4333652505587330
 0.2500  92.8319370742632515   1.0176810987256708   0.6889734860518145   0.4341410233344404
 0.2600  91.4651621438826652   1.2281383044777481   0.6840901057221864   0.4350454997159960
 0.2700  90.0240671691703795   1.4719910700288266   0.6789411856650441   0.4360934993139655
 0.2800  88.5087220997446309   1.7528559006394759   0.6735269758049233   0.4373005646876083
 0.2900  86.9195621273836707   2.0744891645444072   0.6678490310481381   0.4386828394815983
 0.3000  85.2574160178345437   2.4407518139601869   0.6619103125101270   0.4402569168084293
 0.3100  83.5235328242736585   2.8555670925568855   0.6557152829605652   0.4420396574889318
 0.3200  81.7196063386311522   3.3228713949724313   0.6492699941860420   0.4440479788625040
 0.3300  79.8477965875650852   3.8465587420904090   0.6425821637935012   0.4462986161599777
 0.3400  77.9107476400961900   4.4304196651952950   0.6356612388355329   0.4488078598476646
 0.3500  75.9116009675457661   5.0780756377156084   0.6285184435443903   0.4515912738363884
 0.3600  73.8540035835906394   5.7929105353223864   0.6211668084157721   0.4546634009193580
 0.3700  71.7421101996815480   6.5780009194696634   0.6136211779099641   0.4580374631535784
 0.3800  69.5805786592773217   7.4360472019228991   0.6058981941387140   0.4617250660274604
 0.3900  67.3745579672432484   8.3693079331010036   0.5980162540952044   0.4657359160535616
 0.4000  65.1296683107755854   9.3795395449409558   0.5899954382703728   0.4700775618030851
 0.4100  62.8519725783269863  10.4679438534540008   0.5818574088922512   0.4747551682889998
 0.4200  60.5479390231375234  11.6351254819562975   0.5736252765256719   0.4797713339849825
 0.4300  58.2243948908646161  12.8810611047910104   0.5653234343874021   0.4851259586449730
 0.4400  55.8884710348335432  14.2050820473421151   0.5569773604607500   0.4908161685237130
 0.4500  53.5475377764400022  15.6058713326598291   0.5486133883297803   0.4968363036841054
 0.4600  51.2091325294886559  17.0814757677035232   0.5402584485867156   0.5031779699399426
 0.4700  48.8808799896407464  18.6293331444904098   0.5319397836750509   0.5098301557575647
 0.4800  46.5704059881953398  20.2463141284207815   0.5236846400958269   0.5167794122782108
 0.4900  44.2852464118218521  21.9287779449179361   0.5155199429849309   0.5240100926410216
 0.5000  42.0327528859428554  23.6726405845416004   0.5074719591271722   0.5315046451063570
 0.5100  39.8199971946152971  25.4734539391391728   0.4995659554559660   0.5392439531571451
 0.5200  37.6536766475113893  27.3264940692271239   0.4918258609369286   0.5472077148432795
 0.5300  35.5400227874551078  29.2268566844203121   0.4842739403870199   0.5553748531253410
 0.5400  33.4847159423589247  31.1695578887626041   0.4769304891752700   0.5637239488451481
 0.5500  31.4928081466681604  33.1496382884026630   0.4698135578271068   0.5722336881465687
 0.5600  29.5686568757736019  35.1622686634377430   0.4629387152625751   0.5808833166186158
 0.5700  27.7158718451615051  37.2028555498816615   0.4563188587138446   0.5896530930522859
 0.5800  25.9372768206653888  39.2671452403736936   0.4499640772762160   0.5985247364016624
 0.5900  24.2348879764351395  41.3513248711754358   0.4438815745828301   0.6074818602228355
 0.6000  22.6099098360503881  43.4521193981894740   0.4380756543025826   0.6165103894451794
 0.6100  21.0627492665127072  45.5668833530496329   0.4325477701395677   0.6255989547090811
 0.6200  19.5930473930168532  47.6936862916422086   0.4272966398620694   0.6347392595957959
 0.6300  18.1997287011386462  49.8313907832416447   0.4223184207408520   0.6439264157992985
 0.6400  16.8810660267381856  51.9797216165021609   0.4176069417530213   0.6531592405510480
