1.2  0.2439,  -0.1905,  -0.0543,   0.1580,   0.0244,   0.0190,  -0.2134,   0.4688,  # 35609
1.2  0.2439,  -0.1904,  -0.0543,   0.1581,   0.0243,   0.0190,  -0.2135,   0.4688,  # 35609
1.2  0.2440,  -0.1903,  -0.0544,   0.1580,   0.0243,   0.0191,  -0.2137,   0.4694,  # 35609
1.2  0.2442,  -0.1904,  -0.0546,   0.1580,   0.0245,   0.0190,  -0.2139,   0.4700,  # 35609
1.2  0.2444,  -0.1902,  -0.0549,   0.1579,   0.0244,   0.0192,  -0.2142,   0.4710,  # 35609
1.2  0.2448,  -0.1901,  -0.0552,   0.1580,   0.0245,   0.0192,  -0.2149,   0.4724,  # 35609
1.2  0.2451,  -0.1900,  -0.0557,   0.1580,   0.0247,   0.0193,  -0.2156,   0.4742,  # 35609
1.2  0.2457,  -0.1900,  -0.0562,   0.1580,   0.0247,   0.0196,  -0.2163,   0.4762,  # 35609
1.2  0.2463,  -0.1898,  -0.0568,   0.1578,   0.0250,   0.0197,  -0.2173,   0.4788,  # 35609
1.2  0.2471,  -0.1897,  -0.0575,   0.1579,   0.0251,   0.0198,  -0.2184,   0.4816,  # 35609
1.2  0.2479,  -0.1894,  -0.0584,   0.1578,   0.0253,   0.0200,  -0.2197,   0.4850,  # 35609
1.2  0.2489,  -0.1892,  -0.0593,   0.1578,   0.0254,   0.0204,  -0.2212,   0.4888,  # 35609
1.2  0.2500,  -0.1889,  -0.0603,   0.1577,   0.0256,   0.0206,  -0.2228,   0.4930,  # 35609
1.2  0.2512,  -0.1886,  -0.0615,   0.1576,   0.0260,   0.0208,  -0.2247,   0.4978,  # 35609
1.2  0.2527,  -0.1883,  -0.0629,   0.1576,   0.0262,   0.0212,  -0.2268,   0.5032,  # 35609
1.2  0.2541,  -0.1879,  -0.0643,   0.1575,   0.0265,   0.0215,  -0.2290,   0.5090,  # 35609
1.2  0.2557,  -0.1875,  -0.0658,   0.1573,   0.0268,   0.0220,  -0.2314,   0.5154,  # 35609
1.2  0.2574,  -0.1872,  -0.0675,   0.1573,   0.0272,   0.0225,  -0.2341,   0.5224,  # 35609
1.2  0.2593,  -0.1867,  -0.0693,   0.1572,   0.0276,   0.0229,  -0.2370,   0.5298,  # 35609
1.2  0.2614,  -0.1863,  -0.0713,   0.1570,   0.0282,   0.0235,  -0.2402,   0.5380,  # 35609
1.2  0.2637,  -0.1858,  -0.0735,   0.1570,   0.0287,   0.0240,  -0.2437,   0.5468,  # 35609
1.2  0.2661,  -0.1852,  -0.0757,   0.1568,   0.0291,   0.0247,  -0.2473,   0.5562,  # 35609
1.2  0.2686,  -0.1846,  -0.0782,   0.1568,   0.0296,   0.0252,  -0.2512,   0.5664,  # 35609
1.2  0.2711,  -0.1839,  -0.0809,   0.1565,   0.0303,   0.0260,  -0.2553,   0.5772,  # 35609
1.2  0.2741,  -0.1832,  -0.0837,   0.1565,   0.0308,   0.0267,  -0.2598,   0.5886,  # 35609
1.2  0.2770,  -0.1824,  -0.0866,   0.1562,   0.0315,   0.0274,  -0.2644,   0.6008,  # 35609
1.2  0.2802,  -0.1818,  -0.0896,   0.1561,   0.0322,   0.0283,  -0.2694,   0.6138,  # 35609
1.2  0.2834,  -0.1810,  -0.0930,   0.1560,   0.0330,   0.0291,  -0.2746,   0.6274,  # 35609
1.2  0.2868,  -0.1801,  -0.0963,   0.1557,   0.0338,   0.0300,  -0.2801,   0.6418,  # 35609
1.2  0.2904,  -0.1792,  -0.0998,   0.1555,   0.0346,   0.0308,  -0.2858,   0.6568,  # 35609
1.2  0.2941,  -0.1782,  -0.1036,   0.1553,   0.0355,   0.0318,  -0.2919,   0.6726,  # 35609
1.2  0.2981,  -0.1773,  -0.1074,   0.1551,   0.0364,   0.0328,  -0.2982,   0.6890,  # 35609
1.2  0.3019,  -0.1763,  -0.1114,   0.1550,   0.0372,   0.0338,  -0.3046,   0.7062,  # 35609
1.2  0.3060,  -0.1754,  -0.1156,   0.1547,   0.0383,   0.0350,  -0.3113,   0.7240,  # 35609
1.2  0.3103,  -0.1743,  -0.1198,   0.1545,   0.0393,   0.0360,  -0.3184,   0.7426,  # 35609
1.2  0.3145,  -0.1732,  -0.1242,   0.1543,   0.0403,   0.0372,  -0.3256,   0.7618,  # 35609
1.2  0.3190,  -0.1721,  -0.1288,   0.1541,   0.0414,   0.0384,  -0.3331,   0.7816,  # 35609
1.2  0.3234,  -0.1709,  -0.1334,   0.1539,   0.0424,   0.0396,  -0.3407,   0.8020,  # 35609
1.2  0.3278,  -0.1696,  -0.1381,   0.1536,   0.0436,   0.0409,  -0.3486,   0.8228,  # 35609
1.2  0.3322,  -0.1685,  -0.1428,   0.1534,   0.0447,   0.0422,  -0.3565,   0.8444,  # 35609
1.2  0.3367,  -0.1673,  -0.1476,   0.1532,   0.0459,   0.0433,  -0.3646,   0.8664,  # 35609
1.2  0.3413,  -0.1660,  -0.1523,   0.1529,   0.0470,   0.0446,  -0.3729,   0.8888,  # 35609
1.2  0.3456,  -0.1648,  -0.1571,   0.1527,   0.0482,   0.0460,  -0.3813,   0.9118,  # 35609
1.2  0.3500,  -0.1636,  -0.1620,   0.1526,   0.0495,   0.0473,  -0.3899,   0.9350,  # 35609
1.2  0.3543,  -0.1622,  -0.1668,   0.1523,   0.0507,   0.0486,  -0.3985,   0.9586,  # 35609
1.2  0.3586,  -0.1611,  -0.1715,   0.1522,   0.0518,   0.0499,  -0.4070,   0.9824,  # 35609
1.2  0.3628,  -0.1598,  -0.1764,   0.1519,   0.0532,   0.0512,  -0.4157,   1.0064,  # 35609
1.2  0.3667,  -0.1585,  -0.1809,   0.1517,   0.0544,   0.0525,  -0.4244,   1.0306,  # 35609
1.2  0.3704,  -0.1572,  -0.1855,   0.1516,   0.0555,   0.0539,  -0.4330,   1.0548,  # 35609
1.2  0.3740,  -0.1561,  -0.1898,   0.1515,   0.0568,   0.0552,  -0.4417,   1.0792,  # 35609
1.2  0.3773,  -0.1547,  -0.1942,   0.1513,   0.0579,   0.0564,  -0.4501,   1.1034,  # 35609
1.2  0.3804,  -0.1536,  -0.1983,   0.1512,   0.0591,   0.0577,  -0.4585,   1.1276,  # 35609
1.2  0.3833,  -0.1524,  -0.2022,   0.1511,   0.0604,   0.0588,  -0.4670,   1.1518,  # 35609
1.2  0.3858,  -0.1513,  -0.2058,   0.1510,   0.0616,   0.0600,  -0.4752,   1.1756,  # 35609
1.2  0.3880,  -0.1501,  -0.2094,   0.1509,   0.0627,   0.0611,  -0.4832,   1.1994,  # 35609
1.2  0.3899,  -0.1490,  -0.2126,   0.1509,   0.0637,   0.0623,  -0.4911,   1.2228,  # 35609
1.2  0.3915,  -0.1479,  -0.2154,   0.1508,   0.0647,   0.0633,  -0.4988,   1.2460,  # 35609
1.2  0.3927,  -0.1468,  -0.2182,   0.1508,   0.0657,   0.0644,  -0.5063,   1.2686,  # 35609
1.2  0.3936,  -0.1458,  -0.2205,   0.1507,   0.0668,   0.0654,  -0.5137,   1.2910,  # 35609
1.2  0.3940,  -0.1449,  -0.2227,   0.1508,   0.0677,   0.0665,  -0.5207,   1.3128,  # 35609
1.2  0.3941,  -0.1439,  -0.2244,   0.1509,   0.0686,   0.0674,  -0.5277,   1.3342,  # 35609
1.2  0.3937,  -0.1429,  -0.2258,   0.1509,   0.0695,   0.0682,  -0.5343,   1.3550,  # 35609
1.2  0.3929,  -0.1419,  -0.2268,   0.1509,   0.0703,   0.0691,  -0.5407,   1.3752,  # 35609
1.2  0.3917,  -0.1411,  -0.2273,   0.1510,   0.0712,   0.0698,  -0.5469,   1.3948,  # 35609
1.2  0.3901,  -0.1402,  -0.2277,   0.1513,   0.0718,   0.0705,  -0.5528,   1.4138,  # 35609
1.2  0.3880,  -0.1391,  -0.2275,   0.1513,   0.0725,   0.0712,  -0.5586,   1.4322,  # 35609
1.2  0.3857,  -0.1383,  -0.2270,   0.1515,   0.0732,   0.0718,  -0.5641,   1.4498,  # 35609
1.2  0.3828,  -0.1373,  -0.2260,   0.1517,   0.0737,   0.0724,  -0.5694,   1.4668,  # 35609
1.2  0.3797,  -0.1362,  -0.2246,   0.1517,   0.0743,   0.0729,  -0.5746,   1.4832,  # 35609
1.2  0.3762,  -0.1353,  -0.2228,   0.1520,   0.0748,   0.0734,  -0.5796,   1.4988,  # 35609
1.2  0.3723,  -0.1341,  -0.2207,   0.1521,   0.0753,   0.0738,  -0.5844,   1.5136,  # 35609
1.2  0.3681,  -0.1330,  -0.2179,   0.1523,   0.0757,   0.0743,  -0.5892,   1.5278,  # 35609
1.2  0.3638,  -0.1317,  -0.2149,   0.1525,   0.0759,   0.0746,  -0.5938,   1.5414,  # 35609
1.2  0.3591,  -0.1303,  -0.2112,   0.1525,   0.0762,   0.0749,  -0.5983,   1.5540,  # 35609
1.2  0.3542,  -0.1290,  -0.2072,   0.1527,   0.0765,   0.0750,  -0.6027,   1.5660,  # 35609
1.2  0.3491,  -0.1273,  -0.2028,   0.1528,   0.0767,   0.0753,  -0.6073,   1.5772,  # 35609
1.2  0.3441,  -0.1255,  -0.1979,   0.1529,   0.0768,   0.0753,  -0.6119,   1.5878,  # 35609
1.2  0.3389,  -0.1236,  -0.1924,   0.1529,   0.0768,   0.0755,  -0.6165,   1.5976,  # 35609
1.2  0.3336,  -0.1216,  -0.1866,   0.1530,   0.0768,   0.0754,  -0.6211,   1.6068,  # 35609
1.2  0.3283,  -0.1193,  -0.1804,   0.1530,   0.0769,   0.0755,  -0.6261,   1.6152,  # 35609
1.2  0.3234,  -0.1169,  -0.1738,   0.1531,   0.0768,   0.0753,  -0.6312,   1.6230,  # 35609
1.2  0.3184,  -0.1144,  -0.1668,   0.1532,   0.0767,   0.0752,  -0.6364,   1.6300,  # 35609
1.2  0.3139,  -0.1116,  -0.1596,   0.1532,   0.0765,   0.0750,  -0.6419,   1.6366,  # 35609
1.2  0.3094,  -0.1085,  -0.1520,   0.1532,   0.0762,   0.0748,  -0.6476,   1.6424,  # 35609
1.2  0.3055,  -0.1055,  -0.1442,   0.1532,   0.0760,   0.0745,  -0.6535,   1.6476,  # 35609
1.2  0.3021,  -0.1022,  -0.1362,   0.1533,   0.0756,   0.0741,  -0.6598,   1.6524,  # 35609
1.2  0.2990,  -0.0988,  -0.1281,   0.1533,   0.0754,   0.0738,  -0.6664,   1.6566,  # 35609
